cod, descricao
v216,Mulheres alfabetizadas com 49 anos de idade
v217,Mulheres alfabetizadas com 50 anos de idade
v218,Mulheres alfabetizadas com 51 anos de idade
v219,Mulheres alfabetizadas com 52 anos de idade
v220,Mulheres alfabetizadas com 53 anos de idade
v221,Mulheres alfabetizadas com 54 anos de idade
v222,Mulheres alfabetizadas com 55 anos de idade
v223,Mulheres alfabetizadas com 56 anos de idade
v224,Mulheres alfabetizadas com 57 anos de idade
v225,Mulheres alfabetizadas com 58 anos de idade
v226,Mulheres alfabetizadas com 59 anos de idade
v227,Mulheres alfabetizadas com 60 anos de idade
v228,Mulheres alfabetizadas com 61 anos de idade
v229,Mulheres alfabetizadas com 62 anos de idade
v230,Mulheres alfabetizadas com 63 anos de idade
v231,Mulheres alfabetizadas com 64 anos de idade
v232,Mulheres alfabetizadas com 65 anos de idade
v233,Mulheres alfabetizadas com 66 anos de idade
v234,Mulheres alfabetizadas com 67 anos de idade
v235,Mulheres alfabetizadas com 68 anos de idade
v236,Mulheres alfabetizadas com 69 anos de idade
v237,Mulheres alfabetizadas com 70 anos de idade
v238,Mulheres alfabetizadas com 71 anos de idade
v239,Mulheres alfabetizadas com 72 anos de idade
v240,Mulheres alfabetizadas com 73 anos de idade
v241,Mulheres alfabetizadas com 74 anos de idade
v242,Mulheres alfabetizadas com 75 anos de idade
v243,Mulheres alfabetizadas com 76 anos de idade
v244,Mulheres alfabetizadas com 77 anos de idade
v245,Mulheres alfabetizadas com 78 anos de idade
v246,Mulheres alfabetizadas com 79 anos de idade
v247,Mulheres alfabetizadas com 80 ou mais anos de idade
v248,Mulheres responsáveis alfabetizadas com 10 ou mais anos de idade em domicílios particulares
v249,Mulheres, cônjuges ou companheiras (de sexo diferente e do mesmo sexo da pessoa responsável) alfabetizadas com 10 ou mais anos de idade em domicílios particulares
v250,Filhas ou enteadas alfabetizadas com 10 ou mais anos de idade em domicílios particulares
v251,Mães ou sogras alfabetizadas com 20 ou mais anos de idade em domicílios particulares
v252,Netas ou bisnetas alfabetizadas com 10 ou mais anos de idade em domicílios particulares
v253,Irmãs alfabetizadas com 10 ou mais anos de idade em domicílios particulares
v254,Outros parentes mulheres alfabetizadas com 10 ou mais anos de idade em domicílios particulares
v255,Conviventes alfabetizadas com 10 mais anos de idade em domicílios particulares
